;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continua);;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Cascais;  1 734;   908;   826;   998;   701;  2 296;  1 120;  1 176;   3;;1701105;;;;x
Lisboa;  5 493;  2 822;  2 671;  2 914;  1 946;  7 143;  3 267;  3 876;   17;;1701106;;;;x
Loures;  2 178;  1 113;  1 065;  1 409;   985;  2 110;  1 076;  1 034;   3;;1701107;;;;x
Mafra;   792;   387;   405;   454;   378;   789;   396;   393;   1;;1701109;;;;x
Moita;   721;   372;   349;   544;   351;   769;   379;   390;   4;;1701506;;;;x
Montijo;   566;   285;   281;   354;   256;   644;   311;   333;   1;;1701507;;;;x
Odivelas;  1 741;   882;   859;  1 004;   723;  1 453;   760;   693;   4;;1701116;;;;x
Oeiras;  1 453;   740;   713;   822;   591;  1 856;   878;   978;   3;;1701110;;;;x
Palmela;   598;   327;   271;   398;   300;   786;   407;   379;0;;1701508;;;;x
Seixal;  1 671;   875;   796;  1 105;   780;  1 672;   885;   787;   6;;1701510;;;;x
Sesimbra;   505;   240;   265;   334;   251;   581;   306;   275;0;;1701511;;;;x
Setúbal;  1 027;   511;   516;   702;   462;  1 538;   756;   782;   4;;1701512;;;;x
Sintra;  4 111;  2 108;  2 003;  2 783;  1 781;  3 397;  1 716;  1 681;   11;;1701111;;;;x
Vila Franca de Xira;  1 285;   651;   634;   831;   611;  1 224;   655;   569;   2;;1701114;;;;x
  Alentejo;  5 380;  2 725;  2 655;  3 707;  2 793;  11 326;  5 604;  5 722;   22;;18;;x;;
   Alentejo Litoral;   789;   405;   384;   525;   411;  1 380;   717;   663;   6;;181;;;x;
Alcácer do Sal;   83;   44;   39;   60;   44;   186;   94;   92;0;;1811501;;;;x
Grândola;   111;   49;   62;   85;   64;   242;   131;   111;0;;1811505;;;;x
Odemira;   237;   125;   112;   117;   93;   380;   198;   182;   2;;1810211;;;;x
Santiago do Cacém;   223;   113;   110;   166;   129;   417;   223;   194;   3;;1811509;;;;x
Sines;   135;   74;   61;   97;   81;   155;   71;   84;   1;;1811513;;;;x
   Baixo Alentejo;   930;   477;   453;   672;   540;  2 081;  1 051;  1 030;   4;;184;;;x;
Aljustrel;   79;   38;   41;   62;   44;   151;   82;   69;0;;1840201;;;;x
Almodôvar;   46;   27;   19;   33;   27;   140;   71;   69;0;;1840202;;;;x
Alvito;   16;   8;   8;   10;   9;   64;   36;   28;0;;1840203;;;;x
Barrancos;   11;   7;   4;   9;   9;   41;   25;   16;0;;1840204;;;;x
Beja;   308;   159;   149;   231;   199;   571;   273;   298;   2;;1840205;;;;x
Castro Verde;   51;   22;   29;   34;   26;   107;   56;   51;0;;1840206;;;;x
Cuba;   39;   21;   18;   29;   21;   77;   42;   35;0;;1840207;;;;x
Ferreira do Alentejo;   45;   25;   20;   38;   29;   171;   78;   93;0;;1840208;;;;x
Mértola;   24;   13;   11;   15;   11;   134;   71;   63;0;;1840209;;;;x
Moura;   119;   57;   62;   75;   65;   192;   97;   95;   2;;1840210;;;;x
Ourique;   34;   12;   22;   27;   15;   96;   45;   51;0;;1840212;;;;x
Serpa;   113;   61;   52;   76;   59;   223;   123;   100;0;;1840213;;;;x
Vidigueira;   45;   27;   18;   33;   26;   114;   52;   62;0;;1840214;;;;x
   Lezíria do Tejo;  1 860;   935;   925;  1 226;   866;  3 429;  1 663;  1 766;   9;;185;;;x;
Almeirim;   180;   89;   91;   119;   87;   303;   154;   149;0;;1851403;;;;x
Alpiarça;   54;   33;   21;   39;   26;   109;   56;   53;   1;;1851404;;;;x
Azambuja;   168;   96;   72;   117;   78;   305;   159;   146;   2;;1851103;;;;x
Benavente;   292;   152;   140;   170;   130;   307;   154;   153;0;;1851405;;;;x
Cartaxo;   187;   81;   106;   133;   88;   333;   154;   179;   1;;1851406;;;;x
Chamusca;   47;   29;   18;   31;   25;   154;   84;   70;0;;1851407;;;;x
Coruche;   98;   43;   55;   65;   44;   358;   180;   178;   1;;1851409;;;;x
Golegã;   37;   20;   17;   27;   24;   103;   41;   62;0;;1851412;;;;x
Rio Maior;   169;   95;   74;   103;   72;   283;   129;   154;   1;;1851414;;;;x
Salvaterra de Magos;   160;   70;   90;   117;   76;   331;   173;   158;0;;1851415;;;;x
Santarém;   468;   227;   241;   305;   216;   843;   379;   464;   3;;1851416;;;;x
   Alto Alentejo;   700;   362;   338;   520;   371;  1 955;   962;   993;   2;;186;;;x;
Alter do Chão;   23;   17;   6;   14;   13;   72;   38;   34;0;;1861201;;;;x
Arronches;   23;   11;   12;   14;   13;   62;   27;   35;0;;1861202;;;;x
Avis;   29;   13;   16;   27;   20;   79;   38;   41;0;;1861203;;;;x
Campo Maior;   61;   31;   30;   52;   33;   122;   68;   54;0;;1861204;;;;x
Castelo de Vide;   15;   7;   8;   11;   9;   73;   43;   30;0;;1861205;;;;x
Crato;   21;   6;   15;   13;   12;   73;   37;   36;0;;1861206;;;;x
Elvas;   141;   81;   60;   109;   66;   357;   173;   184;0;;1861207;;;;x
Fronteira;   19;   10;   9;   17;   14;   59;   30;   29;0;;1861208;;;;x
Gavião;   13;   5;   8;   7;   5;   86;   38;   48;0;;1861209;;;;x
Marvão;   15;   6;   9;   14;   8;   77;   41;   36;0;;1861210;;;;x
Monforte;   21;   9;   12;   17;   11;   75;   38;   37;0;;1861211;;;;x
Nisa;   33;   21;   12;   23;   18;   166;   81;   85;0;;1861212;;;;x
Ponte de Sor;   118;   65;   53;   88;   69;   245;   119;   126;0;;1861213;;;;x
Portalegre;   144;   67;   77;   92;   65;   315;   161;   154;   2;;1861214;;;;x
Sousel;   24;   13;   11;   22;   15;   94;   30;   64;0;;1861215;;;;x
   Alentejo Central;  1 101;   546;   555;   764;   605;  2 481;  1 211;  1 270;   1;;187;;;x;
