;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Cadaval;  80,2;  1,32;-1,23;  2,56;  6,2;  18,6;  4,6;  1,1;  32,9;x;x;  36,8;  72,4;  28,1;;16B1104;;;;x;;16B1104;;;;x
Caldas da Rainha;  204,9;  0,81;-0,64;  1,45;  7,2;  13,6;  3,0;  1,5;  35,4;x;x;  38,6;  64,9;  22,9;;16B1006;;;;x;;16B1006;;;;x
Lourinhã;  186,3;  1,60;-0,53;  2,13;  8,1;  13,3;  3,6;  1,5;  38,9;x;x;  40,5;  68,2;  31,3;;16B1108;;;;x;;16B1108;;;;x
Nazaré;  183,4;  0,42;-0,70;  1,11;  7,3;  14,3;  10,3;  1,7;  37,9;x;x;  37,0;  66,4;  13,4;;16B1011;;;;x;;16B1011;;;;x
Óbidos;  90,3;  2,91;-0,48;  3,38;  7,9;  12,7;  5,0;  2,3;  42,1;x;x;  37,1;  73,0;  29,0;;16B1012;;;;x;;16B1012;;;;x
Peniche;  346,2;  0,40;-0,45;  0,85;  9,0;  13,4;  4,3;  2,5;  45,7;x;x;  37,7;  75,0;  29,5;;16B1014;;;;x;;16B1014;;;;x
Sobral de Monte Agraço;  219,8;  2,88;-0,31;  3,19;  8,2;  11,3;  8,4;  0,6;  35,6;x;x;  44,3;  65,2;  39,4;;16B1112;;;;x;;16B1112;;;;x
Torres Vedras;  210,7;  1,02;-0,35;  1,37;  8,4;  11,9;  3,9;  1,7;  39,2;x;x;  41,4;  62,1;  30,3;;16B1113;;;;x;;16B1113;;;;x
   Região de Aveiro;  221,9;  0,62;-0,37;  0,99;  7,5;  11,2;  3,4;  1,9;  35,8;  6,6;  1,34;  40,2;  59,6;  28,6;;16D;;;x;;;16D;;;x;
Águeda;  138,7;  0,00;-0,42;  0,42;  7,5;  11,7;  2,8;  1,6;  37,6;x;x;  38,3;  61,7;  32,3;;16D0101;;;;x;;16D0101;;;;x
