;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Nelas;  13 143;  6 204;  6 939;  1 477;   769;   708;  1 355;   711;   644;;16G1809;;;;x
Oliveira de Frades;  9 615;  4 634;  4 981;  1 193;   605;   588;   985;   522;   463;;16G1810;;;;x
Penalva do Castelo;  7 258;  3 499;  3 759;   702;   388;   314;   676;   340;   336;;16G1811;;;;x
Santa Comba Dão;  10 785;  5 139;  5 646;  1 162;   603;   559;  1 002;   510;   492;;16G1814;;;;x
São Pedro do Sul;  15 025;  7 141;  7 884;  1 474;   762;   712;  1 467;   730;   737;;16G1816;;;;x
Sátão;  11 021;  5 255;  5 766;  1 180;   607;   573;  1 077;   544;   533;;16G1817;;;;x
Tondela;  25 628;  12 180;  13 448;  2 576;  1 321;  1 255;  2 385;  1 273;  1 112;;16G1821;;;;x
Vila Nova de Paiva;  4 685;  2 258;  2 427;   446;   249;   197;   451;   235;   216;;16G1822;;;;x
Viseu;  100 105;  47 310;  52 795;  13 001;  6 633;  6 368;  10 533;  5 300;  5 233;;16G1823;;;;x
Vouzela;  9 640;  4 574;  5 066;   976;   503;   473;   903;   450;   453;;16G1824;;;;x
   Beira Baixa;  80 845;  38 718;  42 127;  8 325;  4 268;  4 057;  6 770;  3 521;  3 249;;16H;;;x;
Castelo Branco;  52 366;  24 927;  27 439;  6 053;  3 080;  2 973;  4 836;  2 501;  2 335;;16H0502;;;;x
Idanha-a-Nova;  8 332;  4 014;  4 318;   757;   393;   364;   589;   310;   279;;16H0505;;;;x
Oleiros;  4 871;  2 320;  2 551;   301;   163;   138;   285;   135;   150;;16H0506;;;;x
Penamacor;  4 745;  2 363;  2 382;   311;   174;   137;   308;   175;   133;;16H0507;;;;x
Proença-a-Nova;  7 075;  3 448;  3 627;   586;   291;   295;   553;   289;   264;;16H0508;;;;x
Vila Velha de Ródão;  3 456;  1 646;  1 810;   317;   167;   150;   199;   111;   88;;16H0511;;;;x
   Médio Tejo;  230 997;  110 062;  120 935;  26 301;  13 588;  12 713;  22 855;  11 794;  11 061;;16I;;;x;
Abrantes;  33 795;  16 254;  17 541;  3 407;  1 769;  1 638;  3 221;  1 699;  1 522;;16I1401;;;;x
Alcanena;  12 538;  6 035;  6 503;  1 493;   767;   726;  1 226;   653;   573;;16I1402;;;;x
Constância;  3 872;  1 833;  2 039;   476;   241;   235;   429;   217;   212;;16I1408;;;;x
Entroncamento;  21 294;  10 088;  11 206;  3 081;  1 575;  1 506;  2 340;  1 172;  1 168;;16I1410;;;;x
Ferreira do Zêzere;  7 860;  3 729;  4 131;   834;   418;   416;   735;   376;   359;;16I1411;;;;x
Mação;  6 377;  3 051;  3 326;   493;   245;   248;   470;   244;   226;;16I1413;;;;x
Ourém;  45 346;  21 458;  23 888;  5 471;  2 811;  2 660;  4 697;  2 346;  2 351;;16I1421;;;;x
Sardoal;  3 558;  1 713;  1 845;   316;   156;   160;   327;   183;   144;;16I1417;;;;x
Sertã;  14 809;  7 162;  7 647;  1 555;   815;   740;  1 401;   739;   662;;16I0509;;;;x
Tomar;  36 341;  17 169;  19 172;  3 800;  2 017;  1 783;  3 518;  1 825;  1 693;;16I1418;;;;x
Torres Novas;  34 326;  16 428;  17 898;  4 088;  2 136;  1 952;  3 452;  1 807;  1 645;;16I1419;;;;x
Vila de Rei;  3 392;  1 590;  1 802;   323;   162;   161;   292;   158;   134;;16I0510;;;;x
Vila Nova da Barquinha;  7 489;  3 552;  3 937;   964;   476;   488;   747;   375;   372;;16I1420;;;;x
   Beiras e Serra da Estrela;  208 373;  99 382;  108 991;  20 322;  10 387;  9 935;  18 288;  9 340;  8 948;;16J;;;x;
Almeida;  5 691;  2 673;  3 018;   361;   180;   181;   382;   186;   196;;16J0902;;;;x
Belmonte;  6 175;  2 984;  3 191;   639;   331;   308;   506;   257;   249;;16J0501;;;;x
Celorico da Beira;  6 526;  3 109;  3 417;   611;   303;   308;   596;   308;   288;;16J0903;;;;x
Covilhã;  46 015;  21 969;  24 046;  4 786;  2 442;  2 344;  4 269;  2 177;  2 092;;16J0503;;;;x
Figueira de Castelo Rodrigo;  5 059;  2 402;  2 657;   502;   255;   247;   429;   222;   207;;16J0904;;;;x
Fornos de Algodres;  4 361;  2 013;  2 348;   401;   197;   204;   375;   171;   204;;16J0905;;;;x
Fundão;  26 483;  12 819;  13 664;  2 691;  1 443;  1 248;  2 332;  1 211;  1 121;;16J0504;;;;x
Gouveia;  12 104;  5 709;  6 395;  1 080;   547;   533;   990;   513;   477;;16J0906;;;;x
Guarda;  39 785;  18 985;  20 800;  4 402;  2 206;  2 196;  4 002;  2 036;  1 966;;16J0907;;;;x
Manteigas;  2 899;  1 349;  1 550;   229;   105;   124;   257;   129;   128;;16J0908;;;;x
Mêda;  4 552;  2 166;  2 386;   371;   189;   182;   369;   183;   186;;16J0909;;;;x
Pinhel;  7 872;  3 806;  4 066;   626;   329;   297;   642;   351;   291;;16J0910;;;;x
Sabugal;  11 170;  5 297;  5 873;   851;   423;   428;   701;   347;   354;;16J0911;;;;x
Seia;  21 394;  10 138;  11 256;  2 048;  1 050;   998;  1 747;   892;   855;;16J0912;;;;x
Trancoso;  8 287;  3 963;  4 324;   724;   387;   337;   691;   357;   334;;16J0913;;;;x
  A. M. Lisboa; 2 899 670; 1 367 585; 1 532 085;  420 755;  215 344;  205 411;  308 638;  156 879;  151 759;;170;;x;x;
Alcochete;  19 711;  9 460;  10 251;  3 098;  1 552;  1 546;  2 395;  1 191;  1 204;;1701502;;;;x
Almada;  178 254;  83 820;  94 434;  24 696;  12 682;  12 014;  18 574;  9 517;  9 057;;1701503;;;;x
Amadora;  174 511;  81 013;  93 498;  25 677;  13 041;  12 636;  17 538;  8 840;  8 698;;1701115;;;;x
Barreiro;  78 855;  36 968;  41 887;  10 484;  5 370;  5 114;  8 265;  4 169;  4 096;;1701504;;;;x
Cascais;  213 928;  99 970;  113 958;  30 443;  15 711;  14 732;  23 778;  12 241;  11 537;;1701105;;;;x
Lisboa;  548 703;  257 479;  291 224;  74 354;  38 290;  36 064;  52 635;  26 816;  25 819;;1701106;;;;x
Loures;  203 724;  96 154;  107 570;  30 740;  15 792;  14 948;  21 514;  10 953;  10 561;;1701107;;;;x
Mafra;  88 630;  42 906;  45 724;  14 233;  7 237;  6 996;  10 313;  5 240;  5 073;;1701109;;;;x
Moita;  67 755;  32 096;  35 659;  10 181;  5 224;  4 957;  7 544;  3 844;  3 700;;1701506;;;;x
Montijo;  57 706;  28 133;  29 573;  9 382;  4 864;  4 518;  6 020;  3 070;  2 950;;1701507;;;;x
Odivelas;  150 366;  70 922;  79 444;  23 560;  11 942;  11 618;  15 048;  7 599;  7 449;;1701116;;;;x
