;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Torres Vedras;  9,3;  1,36;  46,2;  171,3;  80,2;  35,7;  51,0;  94,7;  143,1;x;x;x;x;x;;16B1113;;;;x
   Região de Aveiro;  14,1;  0,92;  47,3;  189,4;  74,4;  37,9;  48,2;  92,8;  125,1;  30,4;  33,0;  34,6;  81,46;  20,10;;16D;;;x;
Águeda;  7,7;  0,95;  49,1;  218,1;  67,0;  42,9;  47,7;  93,1;  156,6;x;x;x;x;x;;16D0101;;;;x
Albergaria-a-Velha;  9,3;  0,64;  47,0;  184,4;  74,8;  36,2;  46,9;  95,6;  107,7;x;x;x;x;x;;16D0102;;;;x
Anadia;  8,3;  0,64;  51,5;  276,2;  65,4;  50,2;  51,3;  92,2;  132,9;x;x;x;x;x;;16D0103;;;;x
Aveiro;  18,5;  1,84;  45,5;  166,8;  81,6;  33,4;  46,8;  91,7;  142,7;x;x;x;x;x;;16D0105;;;;x
Estarreja;  13,8;  0,44;  48,0;  195,9;  69,5;  39,5;  50,8;  94,9;  100,0;x;x;x;x;x;;16D0108;;;;x
Ílhavo;  16,8;  0,68;  46,3;  162,8;  73,1;  34,1;  46,5;  91,6;  106,8;x;x;x;x;x;;16D0110;;;;x
Murtosa;  26,1;  0,36;  46,8;  185,5;  76,2;  39,8;  50,5;  94,4;  44,4;x;x;x;x;x;;16D0112;;;;x
Oliveira do Bairro;  9,2;  0,91;  46,1;  172,0;  88,9;  37,5;  51,8;  91,5;  93,8;x;x;x;x;x;;16D0114;;;;x
Ovar;  15,6;  0,42;  47,1;  178,7;  74,3;  34,5;  44,7;  92,7;  102,6;x;x;x;x;x;;16D0115;;;;x
Sever do Vouga;  0,0;  0,95;  52,0;  296,8;  63,7;  51,4;  52,0;  94,9;  96,2;x;x;x;x;x;;16D0117;;;;x
Vagos;  10,9;  0,64;  46,8;  183,2;  75,6;  39,1;  50,5;  93,5;  98,7;x;x;x;x;x;;16D0118;;;;x
   Região de Coimbra;  10,8;  1,01;  50,1;  247,9;  65,8;  46,7;  51,3;  90,2;  92,4;  30,9;  33,4;  34,7;  81,46;  20,10;;16E;;;x;
Arganil;  14,9;  1,22;  54,6;  319,8;  53,4;  59,4;  55,2;  91,7;  147,3;x;x;x;x;x;;16E0601;;;;x
Cantanhede;  10,6;  0,38;  51,1;  269,1;  65,1;  52,8;  52,8;  90,2;  103,1;x;x;x;x;x;;16E0602;;;;x
Coimbra;  12,6;  1,86;  48,3;  219,0;  73,0;  41,7;  49,0;  87,9;  80,8;x;x;x;x;x;;16E0603;;;;x
Condeixa-a-Nova;  0,0;  0,31;  47,1;  172,4;  67,8;  36,4;  51,7;  88,9;  47,2;x;x;x;x;x;;16E0604;;;;x
Figueira da Foz;  19,6;  0,97;  50,9;  259,5;  60,0;  48,2;  50,0;  90,6;  107,9;x;x;x;x;x;;16E0605;;;;x
Góis;  0,0;  0,64;  57,2;  491,5;  54,8;  71,0;  57,8;  88,3;  84,6;x;x;x;x;x;;16E0606;;;;x
Lousã;  0,0;  0,47;  47,4;  184,3;  71,1;  36,3;  49,9;  94,1;  145,5;x;x;x;x;x;;16E0607;;;;x
Mealhada;  1,8;  0,34;  49,3;  236,5;  67,3;  42,7;  51,4;  92,0;  135,7;x;x;x;x;x;;16E0111;;;;x
Mira;  0,0;  0,76;  51,2;  262,4;  63,8;  53,9;  53,2;  92,2;  57,6;x;x;x;x;x;;16E0608;;;;x
Miranda do Corvo;  0,0;  0,43;  51,1;  261,8;  64,6;  44,0;  52,1;  93,7;  108,0;x;x;x;x;x;;16E0609;;;;x
Montemor-o-Velho;  2,0;  0,28;  48,9;  210,3;  61,5;  42,8;  52,6;  93,4;  100,0;x;x;x;x;x;;16E0610;;;;x
Mortágua;  11,1;  0,89;  55,3;  373,0;  58,9;  66,5;  51,8;  92,6;  150,0;x;x;x;x;x;;16E1808;;;;x
Oliveira do Hospital;  2,8;  0,64;  51,3;  263,0;  63,5;  48,0;  51,9;  92,5;  177,8;x;x;x;x;x;;16E0611;;;;x
Pampilhosa da Serra;  10,0;  0,12;  62,6;  693,6;  38,8;  95,3;  56,9;  90,3;  150,0;x;x;x;x;x;;16E0612;;;;x
Penacova;  12,8;  0,21;  54,3;  368,1;  56,5;  56,9;  51,2;  89,9;  350,0;x;x;x;x;x;;16E0613;;;;x
Penela;  28,9;  1,22;  52,3;  290,2;  59,3;  53,3;  57,1;  92,8;  139,3;x;x;x;x;x;;16E0614;;;;x
Soure;  10,8;  0,28;  53,6;  337,8;  61,1;  60,3;  54,0;  90,2;  92,0;x;x;x;x;x;;16E0615;;;;x
Tábua;  0,0;  0,86;  51,2;  265,5;  65,0;  51,7;  54,3;  90,4;  81,5;x;x;x;x;x;;16E0616;;;;x
Vila Nova de Poiares;  0,0;  1,01;  49,1;  232,2;  71,4;  41,5;  50,9;  88,7;  129,0;x;x;x;x;x;;16E0617;;;;x
   Região de Leiria;  10,6;  1,01;  48,1;  207,1;  72,7;  41,3;  50,4;  93,3;  110,5;  30,4;  33,2;  34,3;  81,66;  20,02;;16F;;;x;
Alvaiázere;  3,8;  0,83;  57,3;  417,9;  52,0;  69,0;  55,4;  88,7;  92,6;x;x;x;x;x;;16F1002;;;;x
Ansião;  3,4;  0,49;  53,4;  333,8;  58,6;  56,1;  55,9;  91,5;  119,2;x;x;x;x;x;;16F1003;;;;x
Batalha;  15,2;  0,62;  46,3;  167,7;  76,7;  37,1;  47,9;  95,3;  130,2;x;x;x;x;x;;16F1004;;;;x
Castanheira de Pêra;  14,3;  0,89;  57,6;  531,4;  60,5;  67,0;  52,3;  90,5;  118,2;x;x;x;x;x;;16F1007;;;;x
Figueiró dos Vinhos;  0,0;  0,34;  56,5;  392,8;  47,5;  64,0;  50,9;  92,4;  100,0;x;x;x;x;x;;16F1008;;;;x
Leiria;  10,5;  1,17;  46,4;  174,6;  77,7;  36,0;  48,8;  93,4;  101,5;x;x;x;x;x;;16F1009;;;;x
Marinha Grande;  15,3;  1,38;  46,9;  184,7;  75,5;  37,4;  47,5;  94,2;  123,7;x;x;x;x;x;;16F1010;;;;x
Pedrógão Grande;  0,0;  3,05;  56,0;  441,6;  54,7;  62,2;  52,5;  93,0;  132,6;x;x;x;x;x;;16F1013;;;;x
Pombal;  8,8;  0,63;  50,6;  256,1;  66,6;  49,9;  53,0;  92,0;  128,4;x;x;x;x;x;;16F1015;;;;x
Porto de Mós;  9,2;  0,84;  48,1;  205,3;  77,0;  40,7;  52,1;  95,2;  105,2;x;x;x;x;x;;16F1016;;;;x
   Viseu Dão Lafões;  8,6;  0,52;  50,0;  253,4;  69,2;  48,6;  51,1;  90,5;  102,0;  30,3;  32,2;  33,5;  81,38;  20,14;;16G;;;x;
Aguiar da Beira;  10,3;  0,04;  57,8;  470,8;  56,0;  71,1;  54,2;  88,0;  0,0;x;x;x;x;x;;16G0901;;;;x
