;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Mangualde;   87;   87;   47;   39;0;0;   156;   36;   120;   74;   30;   44;   441;   225;   216;;16G1806;;;;x
Nelas;   47;   47;   32;   15;0;0;   110;   27;   83;   43;   26;   17;   294;   149;   145;;16G1809;;;;x
Oliveira de Frades;   60;   60;   35;   25;0;0;   65;   12;   53;   91;   56;   35;   470;   297;   173;;16G1810;;;;x
Penalva do Castelo;   34;   34;   9;   25;0;0;   70;   11;   59;   9;   5;   4;   71;   36;   35;;16G1811;;;;x
Santa Comba Dão;   51;   50;   40;   10;   1;0;   91;   20;   71;   48;   28;   20;   326;   186;   140;;16G1814;;;;x
São Pedro do Sul;   43;   42;   33;   9;0;   1;   120;   24;   96;   82;   50;   32;   339;   177;   162;;16G1816;;;;x
Sátão;   23;   23;   21;   2;0;0;   86;   14;   72;   17;   8;   9;   117;   56;   61;;16G1817;;;;x
Tondela;   49;   49;   36;   13;0;0;   236;   35;   201;   100;   53;   47;   499;   275;   224;;16G1821;;;;x
Vila Nova de Paiva;   12;   12;   9;   3;0;0;   34;   7;   27;   2;   2;0;   51;   21;   30;;16G1822;;;;x
Viseu;   303;   302;   187;   113;   1;0;   701;   210;   491;   749;   359;   390;  3 781;  1 837;  1 944;;16G1823;;;;x
Vouzela;   30;   30;   19;   11;0;0;   85;   15;   70;   42;   21;   21;   168;   86;   82;;16G1824;;;;x
   Beira Baixa;   240;   238;   162;   76;   1;   1;   712;   111;   601;   825;   426;   399;  4 201;  2 230;  1 971;;16H;;;x;
Castelo Branco;   181;   180;   133;   47;0;   1;   412;   83;   329;   565;   286;   279;  2 597;  1 347;  1 250;;16H0502;;;;x
Idanha-a-Nova;   25;   24;   13;   11;   1;0;   92;   10;   82;   124;   68;   56;   581;   317;   264;;16H0505;;;;x
Oleiros;   12;   12;   6;   6;0;0;   58;   2;   56;   25;   17;   8;   174;   109;   65;;16H0506;;;;x
Penamacor;   2;   2;   1;   1;0;0;   52;   3;   49;   49;   26;   23;   418;   216;   202;;16H0507;;;;x
Proença-a-Nova;   18;   18;   9;   9;0;0;   63;   11;   52;   28;   16;   12;   246;   138;   108;;16H0508;;;;x
Vila Velha de Ródão;   2;   2;0;   2;0;0;   35;   2;   33;   34;   13;   21;   185;   103;   82;;16H0511;;;;x
   Médio Tejo;   744;   742;   487;   255;   1;   1;  1 779;   375;  1 404;  1 652;   888;   764;  9 161;  4 612;  4 549;;16I;;;x;
Abrantes;   84;   84;   66;   18;0;0;   299;   57;   242;   136;   74;   62;   712;   372;   340;;16I1401;;;;x
Alcanena;   38;   38;   22;   16;0;0;   95;   23;   72;   71;   43;   28;   466;   228;   238;;16I1402;;;;x
Constância;   24;   24;   20;   4;0;0;   26;   7;   19;   12;   8;   4;   55;   24;   31;;16I1408;;;;x
Entroncamento;   30;   30;   27;   3;0;0;   133;   40;   93;   334;   165;   169;  1 352;   624;   728;;16I1410;;;;x
Ferreira do Zêzere;   26;   26;   16;   10;0;0;   82;   20;   62;   61;   35;   26;   450;   238;   212;;16I1411;;;;x
Mação;   13;   13;   5;   8;0;0;   66;   5;   61;   51;   28;   23;   197;   94;   103;;16I1413;;;;x
Ourém;   207;   206;   123;   83;0;   1;   299;   72;   227;   485;   266;   219;  2 865;  1 472;  1 393;;16I1421;;;;x
