;;;;;;;;;;;;;;;;;
II.1.4 - População estrangeira com estatuto de residente segundo as principais nacionalidades por município, 2022;;;;;;;;;;;;;;;;;
II.1.4 - Foreign population with resident status according to main nationalities by municipality, 2022;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;Unit: No.;;;Desagregação Territorial;;;
;Total;Brasil ;Ucrânia;Cabo Verde;Roménia;Angola;Guiné Bissau;Reino Unido;Moldávia;China;São Tomé e Príncipe;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Castanheira de Pêra;   148;   28;   4;   1;   2;0;0;   67;0;   3;   1;;16F1007;;;;x
Figueiró dos Vinhos;   298;   23;   2;0;   2;   1;0;   139;0;   19;0;;16F1008;;;;x
Leiria;  8 580;  4 573;   846;   118;   156;   196;   73;   102;   26;   223;   42;;16F1009;;;;x
Marinha Grande;  3 206;  1 151;   323;   115;   71;   43;   10;   26;   19;   92;   13;;16F1010;;;;x
Pedrógão Grande;   662;   27;0;   9;   5;0;0;   256;   1;   3;   1;;16F1013;;;;x
Pombal;  2 149;  1 018;   221;   19;   288;   16;   3;   37;   10;   55;   19;;16F1015;;;;x
Porto de Mós;  1 000;   352;   208;   47;   13;   18;   3;   30;   14;   58;   6;;16F1016;;;;x
   Viseu Dão Lafões;  7 014;  3 594;   338;   99;   111;   237;   40;   216;   17;   257;   108;;16G;;;x;
Aguiar da Beira;   45;   12;   7;0;   1;   2;0;0;0;   10;0;;16G0901;;;;x
Carregal do Sal;   237;   98;   5;   1;   13;   2;0;   35;0;   6;0;;16G1802;;;;x
Castro Daire;   175;   71;   9;   1;   1;   3;   10;   8;0;   29;   1;;16G1803;;;;x
Mangualde;   441;   227;   31;0;   3;   4;   3;   6;   3;   11;0;;16G1806;;;;x
Nelas;   294;   126;   12;   2;   3;   23;   7;   8;   1;   17;   2;;16G1809;;;;x
Oliveira de Frades;   470;   299;   20;   1;   34;   7;   2;   11;   1;   9;   1;;16G1810;;;;x
Penalva do Castelo;   71;   19;   2;   1;0;   1;0;   3;0;   8;0;;16G1811;;;;x
Santa Comba Dão;   326;   56;   6;   6;   24;   12;0;   42;   3;   18;   2;;16G1814;;;;x
São Pedro do Sul;   339;   140;   9;   2;   2;   14;   2;   13;0;   9;   28;;16G1816;;;;x
Sátão;   117;   36;   7;0;   1;0;0;   4;0;   12;0;;16G1817;;;;x
Tondela;   499;   193;   8;   18;   3;   17;   1;   37;0;   17;   9;;16G1821;;;;x
Vila Nova de Paiva;   51;   18;0;   1;   4;   1;0;   1;0;   11;0;;16G1822;;;;x
Viseu;  3 781;  2 224;   211;   66;   22;   147;   15;   39;   9;   99;   52;;16G1823;;;;x
Vouzela;   168;   75;   11;0;0;   4;0;   9;0;   1;   13;;16G1824;;;;x
   Beira Baixa;  4 201;   918;   153;   156;   170;   160;   198;   750;   1;   88;   61;;16H;;;x;
Castelo Branco;  2 597;   729;   109;   131;   114;   137;   175;   258;   1;   65;   9;;16H0502;;;;x
Idanha-a-Nova;   581;   30;   9;   18;   33;   13;   20;   112;0;   4;   51;;16H0505;;;;x
Oleiros;   174;   23;   1;   3;   1;   5;0;   59;0;   6;0;;16H0506;;;;x
Penamacor;   418;   9;   7;0;   6;   1;0;   216;0;   4;0;;16H0507;;;;x
Proença-a-Nova;   246;   74;   16;0;   9;   2;   1;   58;0;   9;0;;16H0508;;;;x
Vila Velha de Ródão;   185;   53;   11;   4;   7;   2;   2;   47;0;0;   1;;16H0511;;;;x
   Médio Tejo;  9 161;  2 884;   699;   152;   497;   548;   112;   922;   44;   320;   76;;16I;;;x;
Abrantes;   712;   237;   46;   16;   99;   37;   11;   39;   4;   25;   2;;16I1401;;;;x
Alcanena;   466;   162;   82;   18;   26;   22;   8;   2;   13;   18;   1;;16I1402;;;;x
Constância;   55;   14;0;   1;   8;   7;0;   7;0;   4;0;;16I1408;;;;x
Entroncamento;  1 352;   653;   59;   53;   26;   255;   45;   9;   3;   68;   10;;16I1410;;;;x
Ferreira do Zêzere;   450;   52;   11;   2;   9;   3;0;   179;   2;   10;0;;16I1411;;;;x
Mação;   197;   45;   2;   3;   19;   3;0;   43;0;   8;   2;;16I1413;;;;x
Ourém;  2 865;  1 044;   387;   21;   217;   106;   17;   40;   11;   59;   11;;16I1421;;;;x
Sardoal;   83;   12;   5;0;   4;   1;0;   6;0;   3;0;;16I1417;;;;x
Sertã;   651;   78;   3;   1;   3;   27;   1;   220;0;   14;   31;;16I0509;;;;x
Tomar;  1 351;   268;   49;   26;   25;   55;   27;   316;   3;   61;   6;;16I1418;;;;x
Torres Novas;   768;   255;   53;   9;   53;   24;   1;   39;   8;   40;   7;;16I1419;;;;x
Vila de Rei;   91;   15;   1;   1;   3;   2;   2;   15;0;   5;   6;;16I0510;;;;x
Vila Nova da Barquinha;   120;   49;   1;   1;   5;   6;0;   7;0;   5;0;;16I1420;;;;x
   Beiras e Serra da Estrela;  6 123;  1 745;   161;   235;   84;   339;   170;   514;   8;   202;   154;;16J;;;x;
Almeida;   107;   32;   11;   4;   6;0;0;0;   2;   12;0;;16J0902;;;;x
Belmonte;   111;   33;   4;   1;0;0;0;   4;0;   14;0;;16J0501;;;;x
Celorico da Beira;   169;   30;   2;0;   4;   1;0;   55;0;   6;0;;16J0903;;;;x
Covilhã;  1 880;   772;   35;   88;   10;   279;   17;   13;   3;   26;   8;;16J0503;;;;x
Figueira de Castelo Rodrigo;   44;   10;   4;   1;   4;0;0;   1;0;   5;0;;16J0904;;;;x
Fornos de Algodres;   79;   14;   3;0;   1;0;0;   25;0;   3;0;;16J0905;;;;x
Fundão;  1 472;   343;   15;   2;   14;   9;   25;   269;   1;   25;   13;;16J0504;;;;x
Gouveia;   246;   28;   5;   9;   1;   7;   1;   30;0;   13;0;;16J0906;;;;x
Guarda;  1 046;   254;   58;   110;   19;   26;   122;   12;   2;   35;   101;;16J0907;;;;x
Manteigas;   56;   22;   1;0;0;   3;0;   2;0;   2;   7;;16J0908;;;;x
Mêda;   41;   4;   2;0;   3;0;0;0;0;   10;0;;16J0909;;;;x
Pinhel;   91;   18;   13;0;   6;   3;   2;0;0;   12;0;;16J0910;;;;x
Sabugal;   145;   27;   1;   2;   10;   4;0;   10;0;   11;0;;16J0911;;;;x
Seia;   518;   140;   4;   16;   1;   7;   3;   89;0;   13;   24;;16J0912;;;;x
Trancoso;   118;   18;   3;   2;   5;0;0;   4;0;   15;   1;;16J0913;;;;x
  A. M. Lisboa;  382 616;  109 352;  8 291;  28 782;  10 324;  22 638;  19 068;  10 378;  2 020;  11 088;  9 863;;170;;x;x;
Alcochete;  1 440;   391;   53;   9;   277;   77;   7;   44;   9;   32;   6;;1701502;;;;x
Almada;  19 198;  7 601;   322;  1 973;   278;  1 134;   321;   324;   108;   417;   650;;1701503;;;;x
Amadora;  26 980;  6 767;   507;  5 904;   579;  1 743;  3 035;   319;   55;   466;  1 019;;1701115;;;;x
Barreiro;  6 890;  2 459;   75;   831;   50;   836;   609;   63;   29;   178;   280;;1701504;;;;x
Cascais;  36 381;  11 937;   894;   896;   953;   593;   975;  2 560;   325;   781;   92;;1701105;;;;x
Lisboa;  118 104;  22 077;  1 393;  2 124;  1 664;  2 920;  1 430;  4 621;   133;  5 447;   951;;1701106;;;;x
Loures;  23 910;  5 964;   727;  2 011;   760;  2 329;  2 143;   135;   120;   465;  2 573;;1701107;;;;x
Mafra;  6 979;  3 381;   289;   39;   261;   98;   21;   304;   87;   153;   25;;1701109;;;;x
Moita;  5 432;  1 396;   78;   802;   84;   834;   926;   62;   22;   165;   298;;1701506;;;;x
Montijo;  6 663;  2 406;   155;   64;   881;   499;   44;   60;   86;   143;   48;;1701507;;;;x
Odivelas;  23 766;  6 306;   874;   908;   544;  2 581;  1 969;   274;   81;   447;   643;;1701116;;;;x
Oeiras;  15 751;  6 580;   371;  1 446;   311;   518;   222;   278;   106;   468;   87;;1701110;;;;x
Palmela;  3 789;  1 388;   157;   86;   408;   204;   38;   127;   71;   134;   20;;1701508;;;;x
